nom_produit,categorie,prix,magasin,date_scraping,url_produit
Duval Sirop Grenadine 75Cl,Boissons,22909.0,Auchan,2026-04-14,https://www.auchan.sn/sirops-jus-instantanes-en-poudre/1931-duval-sirop-grenadine-75cl-6111170000029.html
Moet et Chandon impérial brut 12% vol. 375 ml,Boissons,3299011.0,Auchan,2026-04-14,https://www.auchan.sn/champagnes-vins-mousseux/4140-moet-et-chandon-imperial-brut-12-vol-375-ml-3185370000021.html
JOHNNY WALKER RED LABEL 70CL,Boissons,149909.0,Auchan,2026-04-14,https://www.auchan.sn/alcools-aperitifs/788-johnny-walker-red-label-70cl-5000267014005.html
BIER SAGRE BTEIL EASY OPEN25CL,Boissons,62524.0,Auchan,2026-04-14,https://www.auchan.sn/bieres/87-bier-sagre-bteil-easy-open25cl-5601146713509.html
EAU MINERALE CASAMANCAISE 0.5L,Boissons,165160234.0,Auchan,2026-04-14,https://www.auchan.sn/eaux-plates/1255-eau-minerale-casamancaise-05l-6046000010803.html
VIP Coca Cola Btlle 30CL,Boissons,22520029.0,Auchan,2026-04-14,https://www.auchan.sn/boissons-gazeuses-soft-drinks-soda/1780-vip-coca-cola-btlle-30cl-90338052.html
Seo Eau Minérale 500ML,Boissons,12526.0,Auchan,2026-04-14,https://www.auchan.sn/eaux-plates/3849-seo-eau-minerale-500ml-710535193466.html
Valencia Twist boisson au lait à base de concentré de...,Boissons,12520.0,Auchan,2026-04-14,https://www.auchan.sn/lait-liquide-concentre-aromatise/5526-valencia-twist-boisson-au-lait-a-base-de-concentre-de-peche-100ml-6111251753127.html
Présséa Fresh jus orange canette 250ml,Boissons,32024.0,Auchan,2026-04-14,https://www.auchan.sn/boissons-gazeuses-soft-drinks-soda/3542-pressea-fresh-jus-orange-canette-250ml-9501100460356.html
Jus orange ABC brique 1L,Boissons,3075229011.0,Auchan,2026-04-14,https://www.auchan.sn/nectar-jus-de-fruits-legumes/3450-jus-orange-abc-brique-1l-3516130000041.html
SPRING VALLEY Jus De Raisin Brique 1L,Boissons,182510.0,Auchan,2026-04-14,https://www.auchan.sn/nectar-jus-de-fruits-legumes/2265-spring-valley-jus-de-raisin-brique-1l-3516130000508.html
Auchan Essentiel nectar multi-fruits brique 1L,Boissons,14505.0,Auchan,2026-04-14,https://www.auchan.sn/nectar-jus-de-fruits-legumes/2290-auchan-essentiel-nectar-multi-fruits-brique-1l-3596710133390.html
Auchan Sirop de Menthe 75CL,Boissons,15505.0,Auchan,2026-04-14,https://www.auchan.sn/sirops-jus-instantanes-en-poudre/2230-auchan-sirop-de-menthe-75cl-3596710400478.html
ZENA Sirop De Bissap 75CL,Boissons,24505.0,Auchan,2026-04-14,https://www.auchan.sn/sirops-jus-instantanes-en-poudre/2920-zena-sirop-de-bissap-75cl-6044000007045.html
ZENA Sirop De Fraise 75CL,Boissons,20903.0,Auchan,2026-04-14,https://www.auchan.sn/sirops-jus-instantanes-en-poudre/2917-zena-sirop-de-fraise-75cl-6044000007021.html
XRAY ENERGY DRINK 25CL,Boissons,49026.0,Auchan,2026-04-14,https://www.auchan.sn/boissons-energisantes/797-xray-energy-drink-25cl-5701598027916.html
Zena Sirop De Tamarin 75Cl,Boissons,24509.0,Auchan,2026-04-14,https://www.auchan.sn/sirops-jus-instantanes-en-poudre/1925-zena-sirop-de-tamarin-75cl-6044000007069.html
Zena Jus De Tamarin 1L,Boissons,17903.0,Auchan,2026-04-14,https://www.auchan.sn/nectar-jus-de-fruits-legumes/1920-zena-jus-de-tamarin-1l-6044000007786.html
