nom_produit,categorie,prix,magasin,date_scraping,url_produit
BISCUITS LA CASA DEL COOKIES AUX PEPITES DE CACAO 140G,Epicerie,85080758332.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34199-biscuits-la-casa-del-cookies-aux-pepites-de-cacao-140g.html
BISCUITS DIBALA COOKIES PEPITES DE CHOCOLAT 1PCS,Epicerie,21019952052.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34196-biscuits-dibala-cookies-pepites-de-chocolat-1pcs.html
BISCUITS DIBALA PRIMO COOKIES TROPICAL 1PCS,Epicerie,21019952052.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34195-biscuits-dibala-primo-cookies-tropical-1pcs.html
BISCUITS DIBALA PRIMO COOKIES GRENADINE 1PCS,Epicerie,21019952052.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34193-biscuits-dibala-primo-cookies-grenadine-1pcs.html
BISCUITS DIBALA PRIMO COOKIES DATTES 1PCS,Epicerie,21019952052.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34191-biscuits-dibala-primo-cookies-dattes-1pcs.html
BISCUITS DIBALA PRIMO COOKIES DATTES 24PCS,Epicerie,43254108542382.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34190-biscuits-dibala-primo-cookies-dattes-24pcs.html
BISCUITS DIBALA PRIMO COOKIES ASSIL 1PCS,Epicerie,21019952052.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34189-biscuits-dibala-primo-cookies-assil-1pcs.html
BISCUITS DIBALA PRIMO COOKIES DARK 1PCS,Epicerie,21019952052.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34188-biscuits-dibala-primo-cookies-dark-1pcs.html
BISCUITS DIBALA PRIMO COOKIES DARK 24PCS,Epicerie,43254108542382.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34187-biscuits-dibala-primo-cookies-dark-24pcs.html
BISCUITS DIBALA PRIMO COOKIES MOSAIC 1PCS,Epicerie,21019952052.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34186-biscuits-dibala-primo-cookies-mosaic-1pcs.html
BISCUITS DIBALA PRIMO COOKIES MOSAIC 24PCS,Epicerie,43254108542382.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34185-biscuits-dibala-primo-cookies-mosaic-24pcs.html
BISCUITS DIBALA PRIMO CAKE BRETON CITRON 1PCS,Epicerie,21019952052.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34184-biscuits-dibala-primo-cake-breton-citron-1pcs.html
